matchId,team,name,personId
2741411,HYM,M. Mayora,258698
2741411,HYM,I. Xavier,727814
2741411,HYM,F. Haller,15217
2741411,HYM,F. Morales,1765561
2741411,HYM,A. Nation,2486578
2741411,HYM,G. Semiglia,16717
2741411,HYM,S. Zanotta,15259
2741411,HYM,L. Viatri,1675384
2741411,HYM,A. Louis,425204
2741411,HYM,J. Canty,2486580
2741411,UAT,Q. Wilson,2486591
2741411,UAT,T. Prince,2534741
2741411,UAT,J. Ducasse,208488
2741411,UAT,M. Giano,1338848
2741411,UAT,M. Astramskas,1342734
2741411,UAT,G. Brun,1651515
2741411,UAT,A. Lopez,16807
2741411,UAT,I. Ross,2534738
2741417,UUN,E. Holt,1709203
2741417,UUN,N. Bessio,1569431
2741417,UUN,M. Sarni,43252
2741417,UUN,S. Massa,62685
2741417,UUN,B. Curadossi,1714808
2741417,UUN,M. Rodriguez,1937748
2741417,UUN,A. Moller,1765563
2741417,UUN,E. Demers,2534746
2741417,UUN,T. Daniels,2534742
2741417,UUN,F. Satut Hornos,1457105
2741417,UUN,M. Jounes,1791017
2741417,UUN,M. Benitez,2074488
2741417,WEL,M. Moore,2486593
2741417,WEL,D. Esparza,2486592
2741417,WEL,G. Barrera,16739
2741417,WEL,R. Previatti,1314581
2741417,WEL,J. Stoll,1645559
2741417,WEL,S. Moglia,16511
2741417,WEL,F. Garcia,1334179
2741417,WEL,J. Ortiz,1719070
2741417,WEL,T. Segui,2386796
2741419,BIG,D. Hicks,2324181
2741419,BIG,S. Ottonello,191795
2741419,BIG,N. Catala,16616
2741419,BIG,J. Duran,2199918
2741419,BIG,T. Rodriguez,1989296
2741419,BIG,G. Iglesias,16857
2741419,BIG,A. Payovich,2214818
2741419,BIG,F. Hassell,1924909
2741419,BIG,M. Espinosa,1942261
2741419,BIG,J. Matos,2534718
2741419,AGU,M. Fernandez,2158090
2741419,AGU,J. Osimani,15493
2741419,AGU,S. Vidal,14724
2741419,AGU,E. Clark,2534717
2741419,AGU,F. Pereiras,17571
2741419,AGU,J. Rodriguez,1430994
2741419,AGU,J. Santiso,17101
2741419,AGU,A. Gentile,1717089
2741419,AGU,A. Zuvich,17554
2741419,AGU,E. Mockevicius,2534712
2741421,DSC,T. Metzger,725720
2741421,DSC,D. Wilson,2486574
2741421,DSC,S. Tricot,2549324
2741421,DSC,M. Antunez,1940452
2741421,DSC,M. Zubiaurre,17046
2741421,DSC,F. Terra,191820
2741421,DSC,D. Wright,1981004
2741421,DSC,M. Mac Mullen,1723827
2741421,DSC,N. Colmenares,43224
2741421,DSC,M. Bianchi,999249
2741421,GOE,J. Hartwell,2432773
2741421,GOE,E. Bonet,961332
2741421,GOE,M. Oyenard,1567203
2741421,GOE,F. Verrone,17044
2741421,GOE,A. Irastorza,1977269
2741421,GOE,S. Conceicao,2261706
2741421,GOE,A. Rand,2534732
2741421,GOE,X. Couste,571401
2741421,GOE,I. Dos Santos,2154756
2741413,MAL,R. Abell,2534733
2741413,MAL,M. Romero,16177
2741413,MAL,S. Fernandez,1346396
2741413,MAL,F. Brun,1937721
2741413,MAL,J. Cruz,2534734
2741413,MAL,D. Zekovic,2394559
2741413,MAL,N. Martinez,1645560
2741413,MAL,K. Wachsman,17488
2741413,MAL,O. Medina,17110
2741413,COR,K. Higgins,2534719
2741413,COR,B. Beamer,2534720
2741413,COR,T. Leites,983931
2741413,COR,L. Planells,623893
2741413,COR,E. Gonzalez,15216
2741413,COR,M. Schell,2134158
2741413,COR,V. Clemente Baffuto,2534726
2741413,COR,F. Medina,15257
2741413,COR,P. Rusch,17379
2741427,AGU,M. Fernandez,2158090
2741427,AGU,J. Osimani,15493
2741427,AGU,S. Vidal,14724
2741427,AGU,E. Clark,2534717
2741427,AGU,F. Pereiras,17571
2741427,AGU,B. Traversa,2549110
2741427,AGU,J. Rodriguez,1430994
2741427,AGU,J. Santiso,17101
2741427,AGU,A. Gentile,1717089
2741427,AGU,A. Zuvich,17554
2741427,AGU,V. Acuña,2222567
2741427,AGU,E. Mockevicius,2534712
2741427,UUN,E. Holt,1709203
2741427,UUN,N. Bessio,1569431
2741427,UUN,M. Sarni,43252
2741427,UUN,S. Massa,62685
2741427,UUN,B. Curadossi,1714808
2741427,UUN,M. Rodriguez,1937748
2741427,UUN,A. Moller,1765563
2741427,UUN,T. Daniels,2534742
2741427,UUN,F. Satut Hornos,1457105
2741427,UUN,M. Jounes,1791017
2741427,UUN,M. Benitez,2074488
2741423,DSC,T. Metzger,725720
2741423,DSC,D. Wilson,2486574
2741423,DSC,B. Gomez,2243963
2741423,DSC,M. Zubiaurre,17046
2741423,DSC,F. Terra,191820
2741423,DSC,D. Wright,1981004
2741423,DSC,M. Mac Mullen,1723827
2741423,DSC,N. Colmenares,43224
2741423,DSC,M. Bianchi,999249
2741423,HYM,M. Mayora,258698
2741423,HYM,I. Xavier,727814
2741423,HYM,F. Haller,15217
2741423,HYM,F. Morales,1765561
2741423,HYM,A. Nation,2486578
2741423,HYM,G. Semiglia,16717
2741423,HYM,S. Zanotta,15259
2741423,HYM,L. Viatri,1675384
2741423,HYM,A. Louis,425204
2741423,HYM,J. Canty,2486580
2741415,CNF,A. Mendez,1894506
2741415,CNF,J. Feldeine,2321121
2741415,CNF,E. Bell,2413907
2741415,CNF,M. Cabot,15196
2741415,CNF,L. Parodi,15251
2741415,CNF,P. Gomez,1661038
2741415,CNF,P. Prieto,1722930
2741415,CNF,E. Superi,2150245
2741415,CNF,E. Oglivie,17628
2741415,CNF,G. Galeano,1760620
2741415,CNF,B. Barrera,17677
2741415,CNF,G. Espindola,17669
2741415,CAP,O. Rosado,2549194
2741415,CAP,G. Whittington,2486588
2741415,CAP,N. Pomoli,811063
2741415,CAP,E. Serres,17691
2741415,CAP,A. Ibarguen,1975797
2741415,CAP,C. Heilmann,2544008
2741415,CAP,F. Bavosi,17071
2741415,CAP,S. Hogan,1642412
2741415,CAP,S. Vescovi,617418
2741415,CAP,S. Calimares,1509909
2741415,CAP,M. Rojas,258681
2741415,CAP,J. Delgado,2411720
2741425,GOE,J. Hartwell,2432773
2741425,GOE,E. Bonet,961332
2741425,GOE,M. Oyenard,1567203
2741425,GOE,F. Verrone,17044
2741425,GOE,A. Irastorza,1977269
2741425,GOE,S. Conceicao,2261706
2741425,GOE,A. Rand,2534732
2741425,GOE,X. Couste,571401
2741425,GOE,I. Dos Santos,2154756
2741425,BIG,D. Hicks,2324181
2741425,BIG,S. Ottonello,191795
2741425,BIG,N. Catala,16616
2741425,BIG,T. Rodriguez,1989296
2741425,BIG,G. Iglesias,16857
2741425,BIG,A. Payovich,2214818
2741425,BIG,F. Hassell,1924909
2741425,BIG,M. Espinosa,1942261
2741425,BIG,J. Matos,2534718
2741414,COR,K. Higgins,2534719
2741414,COR,B. Beamer,2534720
2741414,COR,T. Charbonnier,2411715
2741414,COR,T. Leites,983931
2741414,COR,O. Senande,1873515
2741414,COR,L. Planells,623893
2741414,COR,E. Gonzalez,15216
2741414,COR,M. Schell,2134158
2741414,COR,V. Clemente Baffuto,2534726
2741414,COR,F. Medina,15257
2741414,COR,P. Rusch,17379
2741414,UAT,Q. Wilson,2486591
2741414,UAT,T. Prince,2534741
2741414,UAT,L. Gomez,2549330
2741414,UAT,J. Ducasse,208488
2741414,UAT,M. Giano,1338848
2741414,UAT,M. Astramskas,1342734
2741414,UAT,G. Brun,1651515
2741414,UAT,A. Lopez,16807
2741414,UAT,J. Brisset,1675913
2741414,UAT,L. Echeverria,2081918
2741414,UAT,I. Ross,2534738
2741429,WEL,M. Moore,2486593
2741429,WEL,D. Esparza,2486592
2741429,WEL,G. Barrera,16739
2741429,WEL,R. Previatti,1314581
2741429,WEL,J. Stoll,1645559
2741429,WEL,S. Moglia,16511
2741429,WEL,F. Garcia,1334179
2741429,WEL,D. Pena Garcia,1642407
2741429,WEL,A. Peña,2096885
