personId,name,team,pos,MIN,GP,TS%,TS%_pct,eFG%,eFG%_pct,FTr,FTr_pct,AST/TO,AST/TO_pct,PTS36,PTS36_pct,REB36,REB36_pct,OREB36,OREB36_pct,DREB36,DREB36_pct,AST36,AST36_pct,STL36,STL36_pct,BLK36,BLK36_pct,TOV36,TOV36_pct,USG%,USG%_pct,AST%,AST%_pct,REB%,REB%_pct,OREB%,OREB%_pct,DREB%,DREB%_pct,STL%,STL%_pct,BLK%,BLK%_pct
909792,A. Arevalo,WEL,F,251.6,11,40.5,0.5,39.1,1.4,9.6,3.6,0.85,17.6,13.88,37.4,8.01,71.6,0.43,8.6,7.58,95.0,3.29,61.7,1.72,78.8,0.0,6.8,3.86,95.9,26.8,94.1,15.9,63.5,11.2,67.6,1.3,9.0,19.9,88.3,2.4,75.7,0.0,6.8
1346396,S. Fernandez,MAL,G,477.2,22,48.5,14.0,47.0,21.2,8.2,0.5,2.03,80.6,13.81,36.5,5.21,44.6,1.06,31.5,4.15,45.5,4.6,77.9,1.51,63.5,0.0,6.8,2.26,56.3,20.9,60.4,21.3,81.5,7.4,43.2,2.9,30.2,12.1,48.6,2.2,65.8,0.0,6.8
15251,L. Parodi,CNF,G,498.2,21,52.0,31.5,49.4,32.9,25.5,46.4,2.02,79.7,13.8,35.6,4.41,25.7,1.16,36.9,3.25,27.5,7.3,95.9,2.38,95.9,0.0,6.8,3.61,93.2,20.3,53.2,27.7,91.4,6.3,27.0,3.3,36.9,9.5,27.5,3.3,93.2,0.0,6.8
2255313,V. Andrade,COR,C,212.5,6,46.6,7.7,45.6,17.6,22.8,37.8,0.61,8.6,13.72,34.7,11.35,97.7,3.22,86.0,8.13,97.7,2.37,45.5,0.68,9.5,1.02,88.7,3.9,97.7,22.3,73.9,10.7,40.1,16.1,97.7,8.8,85.1,24.0,98.6,0.9,9.5,2.7,86.9
43224,N. Colmenares,DSC,PF,506.8,20,60.1,74.8,62.9,93.2,33.6,63.5,1.24,45.5,13.71,33.8,12.5,99.5,4.33,96.8,8.17,98.6,2.56,50.0,1.49,61.3,0.64,69.4,2.06,46.8,16.7,23.9,11.0,45.9,18.3,99.5,12.6,97.7,24.2,99.5,2.2,65.8,1.8,71.6
17044,F. Verrone,GOE,PF,372.5,19,60.8,77.9,57.1,76.6,17.9,19.4,1.13,35.1,13.43,32.9,7.25,61.7,1.16,36.9,6.09,76.1,2.51,49.1,1.64,71.6,0.77,79.7,2.22,54.5,16.4,23.0,12.1,52.7,10.1,58.1,3.2,35.1,17.4,76.1,2.3,71.2,2.2,80.6
17046,M. Zubiaurre,DSC,G,408.3,22,55.5,47.3,52.8,46.4,21.6,31.5,2.0,77.9,13.4,32.0,5.55,45.5,1.76,58.1,3.79,40.1,3.88,69.8,0.71,12.2,0.53,66.2,1.94,40.1,17.7,30.6,15.4,62.6,8.2,47.3,5.4,60.8,10.7,39.2,1.0,11.7,1.5,65.3
727814,I. Xavier,HYM,F,460.4,21,51.2,27.9,47.1,22.1,34.3,68.0,1.48,51.8,12.9,31.1,6.96,59.0,2.58,74.3,4.38,50.0,3.13,60.8,1.33,54.5,0.39,55.9,2.11,49.1,17.5,28.8,13.0,57.2,9.4,55.0,7.1,72.1,11.8,45.5,1.9,53.6,1.1,56.8
961332,E. Bonet,GOE,PG,551.2,22,46.3,6.8,43.8,10.4,22.2,36.5,2.26,88.7,12.87,30.2,3.2,8.6,0.91,24.8,2.29,6.8,5.62,89.6,1.31,51.8,0.07,17.1,2.48,63.1,20.6,58.1,25.4,88.7,4.4,6.3,2.4,19.8,6.6,8.6,1.9,53.6,0.2,17.6
17101,J. Santiso,AGU,G,592.6,21,49.3,17.6,44.6,14.0,32.1,61.7,2.44,94.1,12.58,29.3,5.71,47.3,0.67,14.0,5.04,62.6,8.14,97.7,0.97,29.3,0.06,14.9,3.34,86.0,20.2,51.4,34.3,97.7,8.0,46.4,2.0,14.0,13.3,56.3,1.4,30.2,0.2,17.6
