rank,name,team,pos,GP,PPG,RPG,APG,qualified
1,Q. Wilson,UAT,PF,19,17.8,9.0,2.1,True
2,N. Colmenares,DSC,PF,20,9.7,8.8,1.8,True
3,J. Strings,GOE,C,12,14.6,8.7,1.2,True
4,F. Hassell,BIG,C,13,13.1,8.5,1.2,True
5,A. Pruitt,GOE,PF,12,12.9,8.5,2.2,True
6,C. Zinaich,CNF,F,16,17.8,8.4,2.1,True
7,L. Santos,AGU,C,12,15.9,8.4,0.6,True
8,J. Canty,HYM,C,21,12.3,8.1,1.4,True
9,A. Peña,WEL,PF,11,19.2,7.8,1.8,True
10,R. Hassan,WEL,C,13,20.4,7.8,1.4,True
11,K. Wachsman,MAL,PF,22,4.6,7.5,0.9,True
12,C. Alaekwe,UAT,PG,12,13.8,7.3,4.5,True
13,E. Bell,CNF,PF,14,10.1,7.1,1.1,True
14,T. Prince,UAT,F,22,16.5,7.0,3.6,True
15,A. Louis,HYM,PF,21,14.8,6.9,1.1,True
16,T. Daniels,UUN,C,19,11.8,6.6,1.8,True
17,J. Ducasse,UAT,F,22,8.3,6.5,1.2,True
18,E. Clark,AGU,PF,22,19.2,6.5,1.1,True
19,B. Beamer,COR,F,13,20.6,6.5,1.0,True
20,J. Matos,BIG,PG,22,17.5,6.2,3.4,True
21,D. Zekovic,MAL,C,22,12.0,6.2,1.7,True
22,A. Ibarguen,CAP,PF,19,13.0,6.1,0.8,True
23,E. Oglivie,CNF,C,12,12.2,6.0,1.3,True
24,M. Rojas,CAP,PF,21,6.2,5.9,2.1,True
25,N. Pomoli,CAP,PG,20,15.3,5.7,5.0,True
26,T. Metzger,DSC,PF,22,12.0,5.5,1.1,True
27,S. Vescovi,CAP,PG,20,16.6,5.4,5.4,True
28,E. Romero,CAP,C,12,9.2,5.2,0.6,True
29,E. Holt,UUN,PF,15,12.2,5.1,1.2,True
30,A. Arevalo,WEL,F,11,8.8,5.1,2.1,True
31,F. Haller,HYM,PF,21,11.8,5.0,1.1,True
32,F. Terra,DSC,G,22,13.4,5.0,5.5,True
33,S. Ottonello,BIG,PF,22,10.0,4.8,1.5,True
34,G. Espindola,CNF,F,22,7.5,4.8,1.5,True
35,N. Martinez,MAL,PF,22,12.0,4.7,0.5,True
36,M. Sarni,UUN,G,22,8.6,4.5,9.6,True
37,M. Benitez,UUN,PF,20,8.2,4.5,0.9,True
38,J. Santiso,AGU,G,21,9.9,4.5,6.4,True
39,A. Zuvich,AGU,C,22,9.2,4.5,1.1,True
40,M. Oyenard,GOE,PG,21,9.8,4.4,2.2,True
41,E. Serres,CAP,F,16,10.3,4.3,1.8,True
42,I. Xavier,HYM,F,21,7.9,4.2,1.9,True
43,A. Moller,UUN,F,18,8.7,4.2,1.1,True
44,S. Vidal,AGU,G,20,11.4,3.9,7.5,True
45,F. Verrone,GOE,PF,19,7.3,3.9,1.4,True
46,A. Nation,HYM,G,18,12.3,3.8,2.7,True
47,J. Sacco,UUN,PF,19,4.3,3.8,1.5,True
48,E. Gonzalez,COR,F,22,7.4,3.7,1.8,True
49,S. Hogan,CAP,F,21,14.6,3.7,2.5,True
50,R. Abell,MAL,G,14,18.0,3.6,3.0,True
51,J. Cruz,MAL,F,14,17.1,3.6,1.9,True
52,F. Soto,DSC,F,18,7.7,3.6,1.5,True
53,B. Curadossi,UUN,PG,22,7.8,3.5,2.0,True
